time,country,size,is_holiday,days_to_next_holiday,days_since_last_holiday,business_days_in_month,lockdown
2016-04-16,RO,104,0,13,83,29,0.0
2016-04-16,SK,1,0,15,19,30,0.0
2016-04-16,UA,10,0,13,39,29,0.0
2016-04-17,BY,1,0,14,40,30,0.0
2016-04-17,HU,9,0,14,20,30,0.0
2016-04-17,MD,41,0,14,40,30,0.0
2016-04-17,PL,2,0,14,20,30,0.0
2016-04-17,RO,103,0,12,84,29,0.0
2016-04-17,SK,1,0,14,20,30,0.0
2016-04-17,UA,10,0,12,40,29,0.0
2016-04-18,BY,1,0,13,41,30,0.0
2016-04-18,HU,9,0,13,21,30,0.0
2016-04-18,MD,41,0,13,41,30,0.0
2016-04-18,PL,1,0,13,21,30,0.0
2016-04-18,RO,103,0,11,85,29,0.0
2016-04-18,SK,1,0,13,21,30,0.0
2016-04-18,UA,9,0,11,41,29,0.0
2016-04-19,BY,1,0,12,42,30,0.0
2016-04-19,HU,9,0,12,22,30,0.0
2016-04-19,MD,41,0,12,42,30,0.0
2016-04-19,PL,1,0,12,22,30,0.0
2016-04-19,RO,102,0,10,86,29,0.0
2016-04-19,SK,1,0,12,22,30,0.0
2016-04-19,UA,9,0,10,42,29,0.0
2016-04-20,BY,1,0,11,43,30,0.0
2016-04-20,HU,9,0,11,23,30,0.0
2016-04-20,MD,41,0,11,43,30,0.0
2016-04-20,PL,1,0,11,23,30,0.0
2016-04-20,RO,102,0,9,87,29,0.0
2016-04-20,SK,1,0,11,23,30,0.0
2016-04-20,UA,9,0,9,43,29,0.0
2016-04-21,BY,1,0,10,44,30,0.0
2016-04-21,HU,9,0,10,24,30,0.0
2016-04-21,MD,41,0,10,44,30,0.0
2016-04-21,PL,3,0,10,24,30,0.0
2016-04-21,RO,102,0,8,88,29,0.0
2016-04-21,SK,1,0,10,24,30,0.0
2016-04-21,UA,9,0,8,44,29,0.0
2016-04-22,BY,1,0,9,45,30,0.0
2016-04-22,HU,9,0,9,25,30,0.0
2016-04-22,MD,41,0,9,45,30,0.0
2016-04-22,PL,1,0,9,25,30,0.0
2016-04-22,RO,101,0,7,89,29,0.0
2016-04-22,SK,1,0,9,25,30,0.0
2016-04-22,UA,9,0,7,45,29,0.0
2016-04-23,BY,1,0,8,46,30,0.0
2016-04-23,HU,9,0,8,26,30,0.0
2016-04-23,MD,41,0,8,46,30,0.0
2016-04-23,PL,2,0,8,26,30,0.0
2016-04-23,RO,101,0,6,90,29,0.0
2016-04-23,SK,1,0,8,26,30,0.0
2016-04-23,UA,9,0,6,46,29,0.0
2016-04-24,BY,1,0,7,47,30,0.0
2016-04-24,HU,9,0,7,27,30,0.0
2016-04-24,MD,40,0,7,47,30,0.0
2016-04-24,PL,2,0,7,27,30,0.0
2016-04-24,RO,100,0,5,91,29,0.0
2016-04-24,SK,1,0,7,27,30,0.0
2016-04-24,UA,9,0,5,47,29,0.0
2016-04-25,BY,1,0,6,48,30,0.0
2016-04-25,HU,9,0,6,28,30,0.0
2016-04-25,MD,40,0,6,48,30,0.0
